epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,558.981,0.71638,0.52124,1.06034,0.97628,0.94183,0.96549,0.77961,0.73004,0.43504,1.17887,0.000581,0.000581,0.000581
45,571.661,0.70016,0.51776,1.04896,0.95339,0.9611,0.97283,0.80109,0.71641,0.42444,1.1408,0.000548,0.000548,0.000548
46,584.267,0.67889,0.4984,1.04753,0.95643,0.96339,0.96998,0.79791,0.69871,0.43942,1.13451,0.000515,0.000515,0.000515
47,596.902,0.68231,0.50755,1.0361,0.93634,0.94966,0.96423,0.78414,0.70134,0.44951,1.13661,0.000482,0.000482,0.000482
48,609.548,0.68719,0.49518,1.04086,0.96697,0.95652,0.97568,0.80787,0.68929,0.39839,1.12422,0.000449,0.000449,0.000449
49,622.332,0.64995,0.46761,1.03573,0.9552,0.95881,0.97395,0.80728,0.70281,0.44407,1.1371,0.000416,0.000416,0.000416
50,635.105,0.67502,0.49212,1.03615,0.96975,0.95365,0.97616,0.80678,0.69658,0.39924,1.12736,0.000383,0.000383,0.000383
51,660.883,0.66773,0.4773,1.01008,0.93157,0.96569,0.97111,0.80042,0.70103,0.40482,1.13285,0.00035,0.00035,0.00035
52,673.669,0.66097,0.46792,1.00346,0.95876,0.95768,0.97136,0.81542,0.66322,0.38922,1.08897,0.000317,0.000317,0.000317
53,686.486,0.64705,0.44083,0.99859,0.95887,0.9611,0.97034,0.81984,0.66779,0.38686,1.0971,0.000284,0.000284,0.000284
54,699.218,0.65353,0.46072,1.00832,0.96158,0.95423,0.97636,0.81517,0.65995,0.38814,1.09379,0.000251,0.000251,0.000251
55,711.859,0.63867,0.44296,0.99267,0.96329,0.96073,0.97471,0.81694,0.65772,0.37711,1.09199,0.000218,0.000218,0.000218
56,724.763,0.62475,0.43867,0.98969,0.96679,0.9611,0.97325,0.82095,0.65888,0.3866,1.09572,0.000185,0.000185,0.000185
57,737.485,0.62527,0.44022,0.98553,0.96443,0.9611,0.97335,0.82203,0.65244,0.38282,1.07777,0.000152,0.000152,0.000152
58,750.336,0.6068,0.42859,0.98315,0.97004,0.96329,0.97466,0.82436,0.65751,0.37921,1.08772,0.000119,0.000119,0.000119
59,763.185,0.60759,0.41917,0.98556,0.9696,0.96568,0.97662,0.82472,0.65357,0.3789,1.08459,8.6e-05,8.6e-05,8.6e-05
60,775.863,0.61456,0.42456,0.99065,0.96861,0.96568,0.97312,0.82406,0.65732,0.3806,1.08474,5.3e-05,5.3e-05,5.3e-05
